	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm005029t1	0	0	0	1	1	0	3	0	0	0	0	67	5	11	0	0	0	0
PrileiEVm005030t1	1	0	1	2	5	3	14	1	0	0	1	14	24	46	3	0	2	0
PrileiEVm005031t1	0	0	13	3	14	6	18	0	8	5	0	4	10	12	5	0	0	0
PrileiEVm005032t1	0	0	1	1	1	0	6	0	2	0	0	3	5	36	0	0	4	0
PrileiEVm005033t1	0	1	23	6	30	8	26	0	5	3	1	54	27	78	3056	3	29	0
PrileiEVm005034t1	0	0	1	0	5	0	4	0	0	0	0	0	2	45	0	0	1	0
PrileiEVm005035t1	0	0	1	1	2	0	21	0	0	0	0	2	1	13	0	1	0	0
PrileiEVm005036t1	0	2	1	5	4	0	24	1	0	0	0	1	1	5	3	0	0	0
PrileiEVm005037t1	1	0	0	1	3	0	11	0	1	0	0	1	0	39	1	0	0	0
PrileiEVm005038t1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0
PrileiEVm005039t1	2	2	7	14	33	7	65	0	10	3	1	56	31	302	10	1	8	1
PrileiEVm005040t1	0	0	0	0	1	0	0	0	0	0	0	5	8	0	0	1	0	0
PrileiEVm005041t1	2	0	1	1	3	1	106	0	0	1	1	2	4	19	31	0	0	1
PrileiEVm005042t1	0	0	0	19	1	1	1	0	1	0	0	1	0	5	0	0	0	0
PrileiEVm005043t1	0	8	1	1	2	0	25	1	0	2	0	16	2	10	3	0	2	3
PrileiEVm005044t1	1	0	3	5	3	20	0	0	0	0	1	1	26	30	0	1	1	0
PrileiEVm005045t1	1	1	1	2	14	3	44	0	2	4	1	32	12	171	5	1	1	0
PrileiEVm005046t1	1	0	7	7	19	5	34	0	4	3	1	29	12	119	7	1	3	3
PrileiEVm005047t1	0	0	0	0	2	0	2	0	0	2	0	2	0	1	13	0	0	1
PrileiEVm005048t1	10	0	0	0	1	0	17	0	0	0	0	4	1	2	0	0	0	0
PrileiEVm005049t1	1	0	0	4	24	3	28	1	2	0	0	32	4	47	9	0	3	0
PrileiEVm005050t1	0	0	1	6	2	2	28	0	1	0	0	4	2	28	3	0	2	0
PrileiEVm005051t1	0	0	4	8	43	5	41	2	1	2	0	18	22	45	11	0	2	0
PrileiEVm005052t1	0	2	6	2	10	0	12	0	4	0	0	8	8	21	8	0	0	0
PrileiEVm005053t1	0	1	2	6	9	3	20	0	3	0	0	2	4	34	2	0	2	0
PrileiEVm005054t1	0	0	0	5	3	6	2	0	6	0	2	45	14	81	1	0	0	0
PrileiEVm005055t1	4	5	6	3	24	6	22	0	6	1	0	7	13	172	0	0	6	0
PrileiEVm005056t1	2	1	1	4	2	0	15	0	1	0	0	4	5	47	6	0	1	0
PrileiEVm005057t1	0	0	9	10	33	5	43	1	2	4	2	34	29	165	7	2	5	1
PrileiEVm005058t1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0
PrileiEVm005059t1	0	0	0	10	1	0	2	0	0	0	0	0	2	11	1	0	0	0
PrileiEVm005060t1	0	0	0	0	14	1	2	0	0	0	0	1	1	8	1	0	0	0
PrileiEVm005061t1	1	1	3	2	8	1	11	0	14	0	4	106	6	33	6	0	2	0
PrileiEVm005062t1	1	1	10	14	34	7	30	1	5	0	0	37	12	114	9	0	6	1
PrileiEVm005063t1	0	0	3	3	3	0	5	0	1	1	0	12	4	16	4	0	0	0
PrileiEVm005064t1	0	0	2	2	7	1	8	0	2	0	0	4	6	23	0	0	2	0
PrileiEVm005065t1	1	1	2	0	0	9	14	0	0	0	0	2	0	2	1	0	0	0
PrileiEVm005066t1	1	1	0	1	6	0	10	0	1	0	0	6	3	64	1	0	2	0
PrileiEVm005067t1	0	0	0	0	11	0	1	1	1	0	0	1	0	3	0	0	0	0
PrileiEVm005068t1	0	0	1	0	14	0	4	0	0	0	0	0	0	9	5	0	0	0
PrileiEVm005069t1	0	0	1	0	1	0	5	0	0	0	0	1	6	6	0	0	0	0
PrileiEVm005070t1	1	0	3	0	6	1	13	0	0	0	0	8	4	33	3	0	0	0
PrileiEVm005071t1	0	0	1	2	5	2	7	0	2	0	0	6	4	54	4	0	3	0
PrileiEVm005072t1	0	0	0	1	1	1	3	0	3	0	0	2	23	11	0	0	0	0
PrileiEVm005073t1	0	0	1	0	1	2	1	0	1	0	0	11	1	7	0	0	0	0
PrileiEVm005074t1	2	1	4	2	32	1	35	0	2	1	1	2	9	20	9	0	2	0
PrileiEVm005075t1	1	0	3	1	15	2	10	0	1	0	1	9	5	17	1	0	2	0
PrileiEVm005076t1	1	2	12	11	28	3	48	2	4	5	2	37	19	177	15	0	8	3
PrileiEVm005077t1	0	0	1	1	3	0	25	0	0	0	0	2	1	7	1	0	0	0
PrileiEVm005078t1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0
PrileiEVm005079t1	1	0	0	1	7	0	1	0	0	0	0	1	0	25	1	0	0	0
PrileiEVm005080t1	0	0	0	0	1	2	1	0	1	0	0	47	3	6	1	0	0	0
PrileiEVm005081t1	0	0	8	0	2	0	12	0	1	0	0	2	3	9	0	0	0	0
PrileiEVm005082t1	2	0	2	0	6	1	43	0	1	0	0	4	4	23	56	0	0	0
PrileiEVm005083t1	2	0	1	0	8	3	18	0	1	2	0	8	1	50	2	0	1	1
PrileiEVm005084t1	0	4	6	2	15	4	22	0	1	1	0	11	4	73	4	1	1	0
PrileiEVm005085t1	0	0	3	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0
PrileiEVm005086t1	0	0	2	6	4	0	33	0	2	0	0	1	0	81	2	0	1	0
PrileiEVm005087t1	1	2	2	5	21	1	31	2	2	1	0	7	7	77	12	0	1	1
PrileiEVm005088t1	0	5	12	12	18	5	40	0	4	0	3	15	11	54	10	1	2	1
PrileiEVm005089t1	0	0	0	0	1	1	2	0	0	0	0	3	43	3	0	1	1	0
PrileiEVm005090t1	0	0	1	0	0	0	32	0	2	0	2	0	1	17	0	0	0	0
PrileiEVm005091t1	1	0	2	0	2	0	7	0	3	0	1	6	7	13	1	0	0	0
PrileiEVm005092t1	10	0	50	10	34	13	57	1	12	0	1	19	61	391	9	0	10	2
PrileiEVm005093t1	0	0	8	1	13	1	28	1	3	1	0	6	4	30	3	0	0	2
PrileiEVm005094t1	0	0	2	1	0	1	32	0	0	0	0	4	0	8	11	0	0	0
PrileiEVm005095t1	0	0	4	1	4	4	10	1	0	0	0	9	513	21	81	0	8	0
PrileiEVm005096t1	1	0	0	1	0	0	1	0	0	0	0	25	11	5	8	0	0	0
PrileiEVm005097t1	0	1	2	0	6	1	6	0	3	0	0	2	2	36	4	0	0	0
PrileiEVm005098t1	0	0	3	2	47	2	6	0	1	0	0	6	1	15	1	0	1	0
PrileiEVm005099t1	2	0	2	0	15	1	13	0	1	2	0	1	2	43	3	1	0	0
PrileiEVm005100t1	1	3	5	4	13	29	20	1	4	2	0	13	21	55	6	0	3	1
PrileiEVm005101t1	0	0	3	1	3	1	14	0	1	0	0	6	5	40	1	0	1	0
PrileiEVm005102t1	1	1	1	3	13	3	20	0	5	0	0	5	3	114	9	0	2	0
PrileiEVm005103t1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	2
PrileiEVm005104t1	1	0	8	3	11	1	15	0	2	1	0	8	6	109	2	0	1	3
PrileiEVm005105t1	1	0	1	0	4	0	18	0	0	0	0	1	1	0	0	0	0	0
PrileiEVm005106t1	1	1	2	3	5	7	21	0	2	0	2	10	5	33	7	0	0	0
PrileiEVm005107t1	0	1	3	4	7	1	22	0	4	1	0	6	2	23	3	1	4	0
PrileiEVm005108t1	0	1	0	1	12	0	7	0	0	0	0	1	0	0	0	0	0	0
PrileiEVm005109t1	1	0	0	0	1	0	1	0	0	0	0	1	0	33	1	0	0	0
PrileiEVm005110t1	0	0	1	1	2	0	8	0	1	1	0	1	0	5	5	0	0	1
PrileiEVm005111t1	0	0	1	0	2	0	3	0	0	0	0	0	0	6	1	0	1	0
PrileiEVm005112t1	0	0	2	1	1	2	3	0	2	0	0	6	3	43	1	0	2	0
PrileiEVm005113t1	0	0	1	1	0	1	3	0	0	0	0	0	2	75	0	0	1	1
PrileiEVm005114t1	0	2	17	1	43	0	3	1	1	0	0	4	1	20	0	0	0	0
PrileiEVm005115t1	0	0	8	3	21	0	11	0	3	0	0	15	6	28	3	0	2	0
PrileiEVm005116t1	0	0	0	0	1	0	1	0	0	0	0	0	1	9	0	0	0	0
PrileiEVm005117t1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
PrileiEVm005118t1	0	0	0	14	1	1	3	0	1	0	0	7	0	3	1	1	0	0
PrileiEVm005119t1	1	0	0	0	3	14	1	1	0	0	19	13	1	4	0	0	0	0
PrileiEVm005120t1	0	0	0	0	5	2	2	0	0	0	0	6	0	12	1	0	0	0
PrileiEVm005121t1	0	0	3	9	6	0	12	0	2	0	0	2	6	28	1	0	1	0
PrileiEVm005122t1	0	2	2	0	10	0	3	1	0	0	0	1	4	2	2	0	0	0
PrileiEVm005123t1	0	0	2	0	11	0	8	0	1	3	3	1	3	52	2	0	1	0
PrileiEVm005124t1	0	0	21	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0
PrileiEVm005125t1	0	0	5	9	11	5	35	0	5	2	2	5	7	42	4	0	2	0
PrileiEVm005126t1	0	0	2	0	6	1	9	0	0	0	0	17	10	8	2	0	2	0
PrileiEVm005127t1	0	1	3	0	6	2	8	0	2	1	0	17	4	49	5	0	1	0
PrileiEVm005128t1	0	0	0	0	3	0	1	0	1	0	0	72	6	2	3	0	0	0
PrileiEVm005129t1	0	0	0	0	2	1	2	0	0	0	0	0	0	4	0	0	0	0
PrileiEVm005130t1	0	0	1	1	18	1	4	0	0	0	0	2	1	10	1	0	0	0
PrileiEVm005131t1	0	0	0	0	2	1	5	0	1	0	0	0	2	8	0	0	0	0
PrileiEVm005132t1	0	0	0	0	1	0	11	0	0	0	0	1	0	2	0	0	0	0
PrileiEVm005133t1	0	0	1	1	12	1	6	0	0	0	0	1	1	3	1	0	0	0
PrileiEVm005134t1	0	0	0	5	0	0	0	0	0	0	0	10	1	2	1	0	0	0
PrileiEVm005135t1	0	0	0	0	2	0	12	0	0	0	0	0	0	7	0	0	1	0
PrileiEVm005136t1	2	6	15	13	87	18	72	2	13	0	2	121	42	230	21	0	5	1
PrileiEVm005137t1	0	0	5	2	9	1	10	0	2	0	0	8	8	32	6	0	0	0
PrileiEVm005138t1	0	0	7	12	13	3	24	0	4	5	2	23	15	78	3	2	1	0
PrileiEVm005139t1	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0
PrileiEVm005140t1	1	1	9	6	34	5	28	0	11	6	1	9	13	379	2	0	9	3
PrileiEVm005141t1	0	0	0	0	2	0	27	0	0	0	0	0	2	15	4	0	0	0
PrileiEVm005142t1	1	1	8	2	35	0	64	0	0	1	1	2	4	125	3	0	3	0
PrileiEVm005143t1	0	0	1	1	0	0	1	0	0	0	0	1	5	1	2	0	0	0
PrileiEVm005144t1	0	0	3	5	10	2	27	1	0	1	0	18	15	88	8	0	2	0
PrileiEVm005145t1	0	0	0	1	3	34	19	0	0	0	0	1	0	5	0	0	0	0
PrileiEVm005146t1	0	0	1	0	3	0	3	0	0	1	1	16	1	7	3	0	1	0
PrileiEVm005147t1	0	1	0	1	5	2	11	0	1	0	0	7	0	11	1	0	0	0
PrileiEVm005148t1	0	0	2	2	3	3	6	0	2	0	0	7	9	54	3	0	1	0
PrileiEVm005149t1	0	0	4	2	3	1	12	0	1	1	0	5	2	16	6	0	0	0
PrileiEVm005150t1	1	0	2	1	4	1	4	0	2	2	0	10	8	22	2	1	2	0
PrileiEVm005151t1	2	0	2	0	3	2	5	0	2	0	2	5	46	16	3	0	3	0
PrileiEVm005152t1	0	0	3	2	4	1	4	0	1	1	2	10	5	35	2	1	1	0
PrileiEVm005153t1	0	0	0	0	2	0	4	0	0	0	0	1	0	3	1	0	0	0
PrileiEVm005154t1	1	1	1	1	7	0	4	0	0	0	0	2	3	17	0	0	0	0
PrileiEVm005155t1	0	0	1	0	0	0	0	0	1	0	0	3	3	2	1	0	0	0
PrileiEVm005156t1	0	0	1	0	0	1	4	0	0	0	0	7	2	16	0	0	1	0
PrileiEVm005157t1	0	0	3	0	17	3	8	1	0	0	0	2	0	11	1	0	0	0
PrileiEVm005158t1	3	0	39	22	34	27	104	0	33	2	2	22	18	115	14	2	0	3
PrileiEVm005159t1	5	3	17	15	45	12	157	0	5	3	2	58	59	160	114	4	5	2
PrileiEVm005160t1	0	0	1	32	7	0	39	0	1	0	0	3	4	46	1	0	3	0
PrileiEVm005161t1	0	1	5	2	7	3	8	0	5	0	0	2	4	19	5	0	1	0
PrileiEVm005162t1	1	0	0	0	8	0	2	0	0	0	0	0	2	3	1	1	0	0
PrileiEVm005163t1	0	0	4	0	4	2	9	0	0	1	0	2	4	37	0	0	1	0
PrileiEVm005164t1	2	0	6	10	35	8	81	0	11	3	0	3	7	180	9	0	5	0
PrileiEVm005165t1	0	0	0	1	1	1	3	0	0	0	0	0	1	19	0	0	0	0
PrileiEVm005166t1	0	0	0	3	5	3	17	1	0	0	0	3	0	10	0	1	1	0
PrileiEVm005167t1	0	0	1	0	4	0	1	0	0	0	0	0	1	17	1	0	0	0
PrileiEVm005168t1	0	0	0	0	0	0	10	0	1	0	0	1	1	6	0	0	0	0
PrileiEVm005169t1	0	0	1	1	0	1	1	0	1	0	0	8	1	27	0	0	3	0
PrileiEVm005170t1	0	0	2	0	13	63	5	0	0	0	0	0	0	5	1	0	1	0
PrileiEVm005171t1	0	0	2	4	4	0	32	0	0	1	0	9	4	54	1	0	1	0
PrileiEVm005172t1	0	0	1	1	3	0	2	0	0	0	0	8	1	9	1	0	0	0
PrileiEVm005173t1	0	0	0	1	1	0	4	0	3	1	0	2	0	3	3	0	1	0
PrileiEVm005174t1	1	2	0	7	20	2	56	0	0	0	2	21	1	17	7	1	3	1
PrileiEVm005175t1	0	0	8	0	2	0	1	0	0	0	0	2	1	27	0	0	0	0
PrileiEVm005176t1	2	0	5	9	20	3	23	0	1	1	0	37	16	107	7	2	3	1
PrileiEVm005177t1	2	1	3	1	2	1	13	0	1	0	0	4	3	10	6	0	0	0
PrileiEVm005178t1	0	0	4	1	14	3	12	0	0	0	1	15	4	32	0	0	0	0
PrileiEVm005179t1	0	0	1	0	4	3	2	0	0	0	0	3	15	14	5	0	1	0
PrileiEVm005180t1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0
PrileiEVm005181t1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	23	0	0	0
PrileiEVm005182t1	1	0	0	0	52	0	13	4	0	0	0	8	3	6	0	0	1	0
PrileiEVm005183t1	0	0	0	0	0	1	4	3	0	0	1	3	2	20	0	0	0	0
PrileiEVm005184t1	0	0	0	2	1	1	4	1	0	0	0	1	2	2	22	0	0	0
PrileiEVm005185t1	2	1	2	2	9	3	8	0	1	0	0	2	3	24	2	0	0	1
PrileiEVm005186t1	1	0	4	9	12	5	43	0	3	0	1	13	5	68	13	0	6	1
PrileiEVm005187t1	0	0	0	1	2	2	29	0	2	0	0	2	0	9	0	0	1	0
PrileiEVm005188t1	0	0	1	0	0	0	1	0	0	0	0	3	1	4	1	0	0	0
PrileiEVm005189t1	0	0	0	1	1	0	1	0	0	0	0	1	3	5	0	0	0	0
PrileiEVm005190t1	0	1	1	1	1	0	6	0	0	0	0	100	5	11	14	0	0	0
PrileiEVm005191t1	1	1	11	3	15	3	34	0	1	0	0	8	5	38	5	0	1	1
PrileiEVm005192t1	0	2	23	4	37	3	44	0	3	3	0	20	18	57	21	2	3	4
PrileiEVm005193t1	1	0	1	1	0	3	2	0	0	0	0	23	5	14	1	0	2	0
PrileiEVm005194t1	0	0	8	2	4	2	42	0	0	2	0	2	0	24	8	0	1	0
PrileiEVm005195t1	0	0	4	2	31	1	2	0	0	0	0	9	1	6	0	0	0	0
PrileiEVm005196t1	8	0	2	0	2	34	3	0	0	0	3	1	0	7	1	0	0	0
PrileiEVm005197t1	0	0	1	1	26	0	24	0	0	0	0	3	0	32	3	0	4	1
PrileiEVm005198t1	0	11	0	0	3	2	10	0	0	0	0	0	0	9	0	0	0	0
PrileiEVm005199t1	1	5	10	6	19	8	51	0	3	4	4	20	10	241	7	0	2	0
PrileiEVm005200t1	0	0	1	0	5	0	1	0	2	0	0	0	1	57	0	0	1	0
PrileiEVm005201t1	0	0	1	0	3	2	81	0	0	0	0	7	9	18	1	0	0	0
PrileiEVm005202t1	0	0	6	9	13	4	30	1	4	1	0	11	11	81	3	0	1	0
PrileiEVm005203t1	0	1	4	0	14	0	2	0	0	0	0	3	3	12	0	0	0	0
PrileiEVm005204t1	3	0	1	2	10	2	5	0	1	0	2	7	9	29	7	0	1	1
PrileiEVm005205t1	1	0	1	7	0	3	6	0	1	0	0	1	1	1	2	0	0	0
PrileiEVm005206t1	0	0	0	6	5	0	0	0	0	0	0	0	0	2	0	0	0	0
PrileiEVm005207t1	0	0	0	2	11	0	19	0	4	0	0	5	2	48	8	0	0	0
PrileiEVm005208t1	3	3	6	7	54	8	47	2	5	3	0	13	14	634	11	0	8	3
PrileiEVm005209t1	0	0	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0
PrileiEVm005210t1	2	1	21	6	20	9	65	2	0	10	0	34	10	165	13	0	2	2
PrileiEVm005211t1	0	2	1	0	7	1	12	0	0	0	0	2	3	1	1	0	1	0
PrileiEVm005212t1	0	0	0	0	3	2	6	0	1	0	0	4	2	31	1	0	0	1
PrileiEVm005213t1	0	8	5	12	25	10	91	1	4	0	2	26	8	144	9	0	6	2
PrileiEVm005214t1	0	0	6	5	23	5	11	2	0	0	0	18	3	39	0	0	2	0
PrileiEVm005215t1	0	2	4	14	29	3	64	0	3	0	0	3	7	62	2	0	1	0
PrileiEVm005216t1	0	1	0	1	4	2	21	0	0	2	0	9	2	50	7	0	4	0
PrileiEVm005217t1	0	0	5	2	7	3	8	0	10	1	3	5	5	29	2	0	1	0
PrileiEVm005218t1	0	1	0	1	0	0	3	0	0	0	0	2	5	8	2	0	0	0
PrileiEVm005219t1	0	0	5	6	5	5	19	0	2	2	1	27	21	58	8	1	0	1
PrileiEVm005220t1	0	0	2	2	4	2	9	0	2	0	0	2	2	17	0	1	1	0
PrileiEVm005221t1	0	1	3	0	16	3	7	0	2	1	0	17	4	88	4	0	4	1
PrileiEVm005222t1	0	0	1	0	6	0	0	0	0	0	0	0	0	3	0	1	2	0
PrileiEVm005223t1	0	0	1	1	3	0	1	0	3	0	0	0	0	2	0	0	0	0
PrileiEVm005224t1	0	0	1	2	6	0	6	0	0	1	1	1	1	33	1	0	1	0
PrileiEVm005225t1	0	0	4	0	2	1	9	0	2	1	0	2	6	29	3	0	0	0
PrileiEVm005226t1	0	0	8	3	6	3	11	1	4	0	1	33	6	74	3	0	3	1
PrileiEVm005227t1	0	0	1	1	5	1	2	0	0	0	0	0	26	2	0	0	1	0
PrileiEVm005228t1	0	0	3	5	7	1	3	0	0	0	1	71	0	11	0	0	1	0
PrileiEVm005229t1	0	0	0	0	24	1	0	0	0	0	0	1	4	2	1	0	0	0
PrileiEVm005230t1	0	0	1	70	0	0	4	1	0	0	0	2	1	8	0	0	0	0
PrileiEVm005231t1	0	6	4	66	6	2	43	0	1	2	0	11	7	158	0	0	2	0
PrileiEVm005232t1	1	0	7	10	14	4	26	1	5	3	0	32	17	146	9	1	6	0
PrileiEVm005233t1	0	1	9	3	15	2	21	1	2	1	0	19	5	67	9	2	0	2
PrileiEVm005234t1	0	0	1	1	5	8	18	0	4	8	1	12	11	12	2	0	1	0
PrileiEVm005235t1	0	0	0	1	1	0	6	0	1	0	0	0	14	2	9	1	1	0
PrileiEVm005236t1	0	0	0	1	2	2	7	0	0	0	0	4	3	19	2	0	1	0
PrileiEVm005237t1	1	0	8	3	8	0	42	0	4	0	2	19	10	90	5	0	2	0
PrileiEVm005238t1	0	0	1	0	1	1	3	0	0	0	0	2	1	9	0	0	0	0
PrileiEVm005239t1	0	0	163	0	7	0	2	1	0	0	0	2	2	5	0	0	1	0
PrileiEVm005240t1	0	0	0	0	0	0	1	0	2	0	0	106	2	14	0	0	0	0
PrileiEVm005241t1	7	14	68	28	58	5	175	1	24	13	8	83	27	710	11	2	14	12
PrileiEVm005242t1	0	0	0	1	1	0	1	0	0	0	0	1	0	4	0	0	0	0
PrileiEVm005243t1	0	0	0	1	1	0	0	0	0	0	0	1	4	3	0	0	2	0
PrileiEVm005244t1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0
PrileiEVm005245t1	0	1	0	0	1	0	5	1	0	0	0	0	3	13	0	0	0	0
PrileiEVm005246t1	0	0	7	0	1	0	24	0	0	0	0	0	3	6	20	0	0	0
PrileiEVm005247t1	0	0	1	1	1	1	1	0	0	0	0	1	2	2	0	0	0	0
PrileiEVm005248t1	1	0	4	8	8	1	8	0	1	0	1	12	8	47	3	0	3	0
PrileiEVm005249t1	2	0	6	4	12	6	29	0	7	0	0	9	9	59	10	0	2	1
PrileiEVm005250t1	0	0	0	0	2	0	1	0	0	0	0	0	1	5	1	0	0	0
PrileiEVm005251t1	1	0	0	5	11	1	38	0	1	0	1	1	0	10	1	0	1	0
PrileiEVm005252t1	0	0	1	0	3	0	4	0	0	0	2	18	9	9	2	0	0	0
PrileiEVm005253t1	2	1	2	1	25	0	26	1	1	0	2	24	22	62	18	0	0	0
PrileiEVm005254t1	0	0	0	1	13	0	7	0	0	0	0	0	1	7	0	0	0	0
PrileiEVm005255t1	0	0	8	2	6	2	42	1	0	1	1	5	2	32	3	0	3	0
PrileiEVm005256t1	0	0	2	2	13	4	20	0	1	0	0	4	9	35	5	0	2	0
PrileiEVm005257t1	0	2	3	2	13	2	18	1	0	2	2	7	5	82	2	1	2	0
PrileiEVm005258t1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
PrileiEVm005259t1	1	0	2	1	3	0	6	0	0	0	0	1	1	27	0	0	1	0
PrileiEVm005260t1	0	2	8	1	18	3	23	1	2	4	4	16	7	206	8	0	9	2
PrileiEVm005261t1	0	0	8	4	13	7	24	0	2	2	0	31	18	67	12	0	2	0
PrileiEVm005262t1	0	1	4	4	21	3	25	1	3	1	1	13	18	98	7	0	1	0
PrileiEVm005263t1	0	0	1	1	3	1	3	0	0	0	0	7	3	7	0	0	0	0
PrileiEVm005264t1	0	0	0	2	0	0	2	0	0	0	0	1	5	2	1	0	2	0
PrileiEVm005265t1	0	0	0	2	0	0	1	0	0	0	0	1	9	2	1	2	0	0
PrileiEVm005266t1	0	0	0	0	1	121	5	0	0	0	0	6	2	7	1	0	0	0
PrileiEVm005267t1	0	0	0	3	0	0	4	0	0	0	0	9	8	7	2	0	0	0
PrileiEVm005268t1	0	0	0	2	6	0	10	1	2	0	0	5	2	47	2	0	2	0
PrileiEVm005269t1	0	0	0	2	0	1	2	0	0	0	1	2	2	3	0	0	0	0
PrileiEVm005270t1	0	0	0	2	1	1	17	0	1	1	1	10	0	10	0	0	1	0
PrileiEVm005271t1	0	0	1	1	1	1	2	0	0	0	0	3	16	3	0	0	1	1
PrileiEVm005272t1	3	0	7	1	17	5	39	0	5	1	1	27	11	108	8	1	5	0
PrileiEVm005273t1	3	5	39	38	41	12	279	1	16	12	8	35	35	408	17	0	16	5
PrileiEVm005274t1	1	3	32	4	95	5	311	2	1	6	1	10	11	129	14	0	5	0
PrileiEVm005275t1	0	0	4	32	10	20	21	2	0	0	0	14	12	18	2	0	2	0
PrileiEVm005276t1	3	0	0	0	0	3	1	0	0	0	1	28	19	12	1	0	0	0
PrileiEVm005277t1	0	0	1	0	5	0	2	0	0	0	0	0	0	2	1	0	0	0
PrileiEVm005278t1	0	2	2	1	5	1	7	2	0	1	0	3	1	26	2	0	1	1
PrileiEVm005279t1	0	1	4	8	18	1	7	0	0	0	0	2	1	17	1	0	1	0
PrileiEVm005280t1	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0
PrileiEVm005281t1	0	0	3	0	5	1	6	2	2	0	0	708	7	11	3	1	1	0
PrileiEVm005282t1	0	0	20	0	2	1	37	0	1	0	0	2	0	9	0	0	0	0
PrileiEVm005283t1	0	0	0	2	1	1	1	0	1	0	0	1	1	9	0	0	0	0
PrileiEVm005284t1	1	7	2	7	13	12	23	0	3	1	3	17	3	52	3	0	2	0
PrileiEVm005285t1	0	1	3	0	12	1	6	0	0	0	0	12	5	80	3	0	2	0
PrileiEVm005286t1	0	0	1	0	4	1	1	0	0	0	0	1	0	9	0	0	0	0
PrileiEVm005287t1	0	0	0	0	5	0	1	0	0	0	1	0	3	28	0	0	3	0
PrileiEVm005288t1	0	1	1	0	1	0	6	0	0	0	0	2	0	19	0	0	0	0
PrileiEVm005289t1	0	0	0	0	2	0	1	0	1	0	0	0	2	0	1	0	0	0
PrileiEVm005290t1	0	1	7	4	19	7	24	1	1	1	2	21	9	134	6	0	2	0
PrileiEVm005291t1	0	0	6	4	7	1	33	0	4	2	0	3	5	100	6	1	2	0
PrileiEVm005292t1	0	0	2	1	2	0	7	0	0	1	0	3	2	55	0	0	2	0
PrileiEVm005293t1	1	1	23	14	38	3	36	1	4	4	2	43	30	249	16	1	1	1
PrileiEVm005294t1	0	0	0	0	0	0	1	0	1	0	0	2	11	2	0	0	0	0
PrileiEVm005295t1	0	0	0	1	1	0	1	0	0	0	0	1	4	4	4	0	0	0
PrileiEVm005296t1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
PrileiEVm005297t1	1	1	12	6	12	4	13	0	5	4	4	9	4	311	1	1	9	1
PrileiEVm005298t1	0	0	0	0	1	0	61	0	0	0	0	1	3	36	0	0	1	0
PrileiEVm005299t1	0	0	1	1	4	1	9	0	0	0	1	4	4	21	4	1	1	1
PrileiEVm005300t1	0	0	3	0	5	2	9	0	2	0	1	22	5	15	5	1	0	0
PrileiEVm005301t1	0	0	3	0	3	25	10	0	1	1	1	28	0	10	0	0	1	0
PrileiEVm005302t1	0	0	2	27	5	1	5	0	0	0	0	2	2	8	5	0	0	0
PrileiEVm005303t1	1	0	7	7	6	3	10	0	3	0	0	3	2	45	3	0	3	1
PrileiEVm005304t1	0	0	4	5	8	2	10	1	1	0	2	12	7	27	10	0	1	0
PrileiEVm005305t1	2	1	14	7	5	2	55	1	2	2	2	5	11	78	2	0	2	0
PrileiEVm005306t1	0	0	1	6	12	4	19	0	1	0	1	15	0	57	7	1	0	1
PrileiEVm005307t1	0	1	2	0	4	0	3	0	2	0	0	5	2	95	1	0	1	0
PrileiEVm005308t1	0	0	0	2	3	0	27	0	0	0	0	1	1	0	0	0	2	0
PrileiEVm005309t1	3	0	132	0	0	0	3	0	2	0	4	8	0	8	0	0	1	0
PrileiEVm005310t1	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	0	0	0
PrileiEVm005311t1	0	0	0	0	0	1	6	0	0	0	0	1	3	7	0	0	0	0
PrileiEVm005312t1	0	0	0	1	24	1	0	0	0	0	0	0	1	2	0	0	1	0
PrileiEVm005313t1	0	4	3	2	15	2	19	1	2	0	1	27	9	79	1	0	2	0
PrileiEVm005314t1	0	2	5	10	15	11	94	0	1	0	0	7	2	34	4	0	0	0
PrileiEVm005315t1	0	0	0	0	0	0	2	0	0	0	0	1	11	1	0	0	0	0
PrileiEVm005316t1	0	0	0	18	1	5	3	0	3	0	9	5	1	3	0	0	0	0
