	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000064t1	0	0	1	1	3	1	19	0	0	0	0	1	0	0	1	0	2	0
PrileiEVm000065t1	1	0	0	2	12	7	56	0	0	0	0	3	4	70	11	0	4	1
PrileiEVm000066t1	5	4	27	5	55	16	78	0	10	2	2	38	27	738	17	2	21	0
PrileiEVm000067t1	1	4	7	11	50	7	87	2	6	2	3	53	29	158	15	0	0	2
PrileiEVm000068t1	0	0	1	1	4	144	2	0	0	0	0	5	0	15	1	0	0	0
PrileiEVm000069t1	0	1	1	3	5	5	7	0	0	1	0	327	7	14	6	0	2	0
PrileiEVm000070t1	3	0	12	10	61	8	24	1	40	1	0	17	10	926	5	0	23	0
PrileiEVm000071t1	1	1	5	0	169	1	8	0	3	1	1	9	6	29	2	1	4	0
PrileiEVm000072t1	3	14	81	34	117	28	170	1	31	10	7	105	68	888	38	1	29	4
PrileiEVm000073t1	6	3	27	6	15	7	365	1	5	3	3	948	11	148	6	0	11	0
PrileiEVm000074t1	1	0	4	9	20	13	24	0	1	0	1	24	24	97	14	0	4	2
PrileiEVm000075t1	0	1	4	4	17	3	20	0	1	0	0	13	14	100	6	1	1	0
PrileiEVm000076t1	2	1	5	13	31	12	58	0	10	1	1	40	9	222	9	0	11	0
PrileiEVm000077t1	0	0	7	6	13	7	29	0	6	0	3	1492	20	87	9	1	4	0
PrileiEVm000078t1	4	5	24	24	34	3	54	2	7	1	0	65	62	200	17	2	6	0
PrileiEVm000079t1	3	4	20	12	22	11	65	1	9	8	1	21	24	90	12	4	4	1
PrileiEVm000080t1	1	1	5	3	1	1	7	1	1	0	0	61	20	31	2	0	0	1
PrileiEVm000081t1	0	3	7	2	16	7	12	0	2	1	3	28	11	46	6	0	5	0
PrileiEVm000082t1	1	0	24	5	32	5	77	0	8	4	0	25	15	286	6	1	11	1
PrileiEVm000083t1	0	0	1	2	2	1	2	0	1	0	0	29	59	25	0	0	0	0
PrileiEVm000084t1	0	1	1	0	6	1	3	0	2	0	0	468	5	14	1	0	2	0
PrileiEVm000085t1	0	0	0	0	3	4	0	0	0	0	0	40	0	6	0	0	1	0
PrileiEVm000086t1	0	1	3	2	3	0	5	0	1	0	0	137	2	10	3	0	0	2
PrileiEVm000087t1	3	1	21	45	21	21	172	0	0	1	2	68	12	255	20	0	12	5
PrileiEVm000088t1	0	0	0	1	0	1	3	0	0	2	0	0	1	7	21	0	0	0
PrileiEVm000089t1	0	0	3	1	363	2	7	2	1	0	2	2	4	17	6	0	4	0
PrileiEVm000090t1	49	94	456	391	827	187	1570	31	167	46	73	620	1006	4501	304	5	133	56
PrileiEVm000091t1	3	7	17	17	57	16	87	3	14	2	4	70	42	371	26	0	9	0
PrileiEVm000092t1	0	1	2	0	1	0	5	0	1	0	0	1	31	4	2	1	0	0
PrileiEVm000093t1	0	0	1	1	27	2	3	1	0	0	0	0	1	56	4	0	2	0
PrileiEVm000094t1	0	1	11	6	17	4	20	0	1	4	0	14	11	88	7	0	1	2
PrileiEVm000095t1	4	2	0	4	4	25	7	0	1	1	11	471	8	82	9	0	5	0
PrileiEVm000096t1	4	5	12	12	73	10	67	0	5	1	2	49	29	425	18	0	11	0
PrileiEVm000097t1	0	1	7	4	7	6	13	1	0	1	0	48	3	37	0	0	2	2
PrileiEVm000098t1	0	0	0	2	5	3	12	1	1	0	0	434	2	38	1	0	3	1
PrileiEVm000099t1	13	2	4	1	8	5	377	1	0	0	0	8	10	34	213	0	1	0
PrileiEVm000100t1	0	1	19	18	55	7	57	0	12	0	2	42	25	333	18	1	8	1
PrileiEVm000101t1	29	50	316	67	610	52	1152	8	48	33	17	159	940	1816	282	8	68	56
PrileiEVm000102t1	2	3	114	2	86	2	31	0	0	1	0	4	9	55	16	1	3	0
PrileiEVm000103t1	5	0	1	3	9	1	194	0	1	0	1	4	3	20	134	0	2	0
PrileiEVm000104t1	0	0	6	5	13	0	4	0	1	1	0	2	3	23	0	0	1	0
PrileiEVm000105t1	6	15	46	24	103	8	73	3	2	0	2	33	86	831	27	6	19	5
PrileiEVm000106t1	23	33	84	305	63	153	71	29	151	9	46	532	92	1802	22	1	39	13
PrileiEVm000107t1	0	0	5	1	11	4	16	3	1	0	1	6	3	52	4	0	0	0
PrileiEVm000108t1	4	0	8	3	11	0	8	0	1	0	0	77	44	33	9	0	0	0
PrileiEVm000109t1	1	4	29	23	34	14	163	5	30	3	1	28	36	241	15	2	10	6
PrileiEVm000110t1	8	8	52	37	150	31	215	1	33	9	9	85	73	1404	49	0	28	7
PrileiEVm000111t1	0	0	2	0	262	0	3	0	0	0	0	3	3	19	5	0	3	0
PrileiEVm000112t1	0	1	0	0	3	0	1	0	0	0	0	1	41	11	1	0	0	0
PrileiEVm000113t1	2	0	3	0	12	1	16	0	4	0	0	3	5	113	3	0	4	0
PrileiEVm000114t1	0	1	6	9	17	4	29	1	6	0	0	20	23	32	16	0	4	1
PrileiEVm000115t1	1	3	21	17	37	7	43	1	10	5	3	28	27	197	19	0	8	0
PrileiEVm000116t1	5	8	54	33	84	21	88	6	14	6	3	87	105	737	52	1	22	7
PrileiEVm000117t1	0	1	10	6	13	6	13	0	7	0	0	1532	4	28	5	0	3	1
PrileiEVm000118t1	0	2	17	8	29	5	43	3	7	3	0	35	34	124	30	1	12	3
PrileiEVm000119t1	0	1	2	12	2	1	4	0	1	0	0	3	6	14	131	0	1	0
PrileiEVm000120t1	1	1	20	218	19	6	44	2	11	1	2	315	680	63	38	0	9	1
PrileiEVm000121t1	4	11	39	46	89	51	152	3	5	4	5	181	86	471	26	3	15	3
PrileiEVm000122t1	2	3	31	17	56	10	65	0	7	1	5	67	79	472	23	1	8	1
PrileiEVm000123t1	0	1	3	2	7	0	8	0	0	0	0	2	26	23	7	0	1	0
PrileiEVm000124t1	1	0	0	0	5	6	4	2	4	0	6	94	3	73	0	1	2	0
PrileiEVm000125t1	2	2	2	217	7	2	10	1	3	0	0	10	5	54	1	1	2	0
PrileiEVm000126t1	2	3	7	13	7	20	30	1	3	2	0	19	13	110	15	0	2	0
PrileiEVm000127t1	0	0	0	1	4	0	61	0	1	0	0	1	0	6	0	0	0	0
PrileiEVm000128t1	0	1	2	0	1	1	26	0	1	0	0	7	3	27	1	1	0	0
PrileiEVm000129t1	2	0	0	2	3	0	67	0	0	0	0	1	7	34	19	0	0	0
PrileiEVm000130t1	0	0	1	2	13	4	5	0	2	0	0	7	4	13	0	0	0	0
PrileiEVm000131t1	0	0	2	0	68	0	1	0	1	0	0	1	0	6	2	0	1	0
PrileiEVm000132t1	20	15	109	110	402	43	672	10	14	15	7	264	33	1238	68	1	37	2
PrileiEVm000133t1	0	6	22	25	65	12	87	4	5	1	6	90	63	331	35	2	8	0
PrileiEVm000134t1	0	0	4	12	10	2	8	2	0	0	2	42	25	43	18	0	1	3
PrileiEVm000135t1	2	4	33	17	95	16	116	1	17	2	1	51	22	132	57	1	4	1
