	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000064t1	0	0	1	3	8	1	82	0	1	6	0	6	1	3	1	0	2	0
PrileiEVm000065t1	2	0	0	5	18	10	160	1	1	2	0	5	12	100	25	0	6	4
PrileiEVm000066t1	7	9	28	29	189	65	187	0	19	10	3	96	67	958	30	6	31	8
PrileiEVm000067t1	4	7	12	26	151	26	193	4	11	10	3	95	63	231	29	3	6	14
PrileiEVm000068t1	0	0	1	2	15	396	10	0	2	2	0	10	5	20	3	0	1	0
PrileiEVm000069t1	2	5	1	7	25	10	15	0	6	3	1	1087	23	33	10	1	7	2
PrileiEVm000070t1	4	1	15	10	134	17	33	1	43	4	1	19	15	1171	9	0	31	2
PrileiEVm000071t1	2	1	14	4	871	7	25	0	7	3	3	19	13	50	21	2	12	1
PrileiEVm000072t1	10	22	105	82	399	91	386	6	47	35	13	241	154	1241	77	25	48	44
PrileiEVm000073t1	18	12	47	15	55	25	882	2	10	11	3	1632	26	237	7	2	16	5
PrileiEVm000074t1	1	0	13	26	101	32	81	1	3	5	5	72	58	143	31	5	4	5
PrileiEVm000075t1	1	2	6	15	63	18	50	0	3	3	0	32	29	156	11	4	6	3
PrileiEVm000076t1	5	6	10	26	127	40	111	3	15	8	2	85	31	296	18	5	18	14
PrileiEVm000077t1	6	2	10	26	76	41	63	5	26	1	4	3681	51	144	21	7	11	7
PrileiEVm000078t1	5	18	38	45	143	18	147	5	8	8	2	106	115	274	28	5	16	8
PrileiEVm000079t1	4	6	26	26	118	47	143	2	16	11	1	50	43	144	31	17	11	29
PrileiEVm000080t1	2	2	6	6	14	5	17	1	2	0	0	164	64	41	3	1	4	3
PrileiEVm000081t1	1	4	8	4	67	19	39	1	5	2	4	63	43	69	12	2	7	4
PrileiEVm000082t1	4	1	28	8	76	24	122	0	10	16	0	34	27	377	15	3	14	19
PrileiEVm000083t1	0	1	2	4	23	6	7	0	3	1	0	73	113	36	1	0	1	2
PrileiEVm000084t1	0	1	6	2	16	5	20	1	5	0	0	947	16	33	3	3	8	2
PrileiEVm000085t1	0	0	1	1	16	4	6	0	1	0	1	103	2	10	1	1	2	0
PrileiEVm000086t1	1	2	3	6	20	6	11	0	2	1	0	360	3	18	5	0	2	53
PrileiEVm000087t1	9	7	41	110	54	89	428	6	3	1	5	137	21	357	47	1	19	9
PrileiEVm000088t1	0	0	1	2	7	2	8	0	0	2	0	3	5	10	48	0	0	0
PrileiEVm000089t1	1	1	9	6	1786	14	20	4	11	1	2	9	9	28	18	0	22	3
PrileiEVm000090t1	103	167	614	682	2293	678	3373	84	237	120	99	1149	1735	6214	515	47	253	215
PrileiEVm000091t1	6	12	24	37	311	55	181	8	22	10	6	154	103	527	57	12	19	21
PrileiEVm000092t1	0	1	2	0	6	0	8	0	1	0	0	4	49	5	3	4	0	0
PrileiEVm000093t1	0	0	3	1	149	5	12	1	0	2	0	6	3	76	11	0	2	2
PrileiEVm000094t1	0	1	13	10	59	18	52	0	2	10	1	34	26	133	15	3	2	18
PrileiEVm000095t1	8	3	1	10	24	92	18	3	8	3	21	813	20	133	14	0	5	3
PrileiEVm000096t1	9	8	27	34	278	49	156	2	12	5	3	100	71	599	46	4	18	14
PrileiEVm000097t1	0	1	10	5	19	19	23	1	1	2	1	136	11	47	1	0	3	6
PrileiEVm000098t1	1	1	5	13	37	16	34	3	18	5	1	1412	18	56	9	1	10	3
PrileiEVm000099t1	22	3	5	3	33	14	1130	1	1	0	0	21	20	49	441	1	8	6
PrileiEVm000100t1	3	3	25	38	163	37	118	0	19	6	3	77	67	471	30	3	21	8
PrileiEVm000101t1	49	116	439	132	1801	177	2521	17	75	76	26	321	1700	2462	489	52	143	222
PrileiEVm000102t1	4	3	169	3	317	6	61	0	1	4	0	10	26	69	39	1	8	6
PrileiEVm000103t1	8	2	2	6	26	5	549	0	1	0	1	9	12	28	234	1	3	3
PrileiEVm000104t1	1	0	10	8	59	3	13	3	1	2	1	9	9	26	0	3	2	0
PrileiEVm000105t1	7	28	66	52	316	38	160	4	9	7	2	78	191	1124	71	11	43	23
PrileiEVm000106t1	43	54	108	576	202	536	140	97	204	23	73	1228	146	2587	40	8	57	39
PrileiEVm000107t1	1	0	7	10	35	9	38	3	1	0	1	10	10	85	7	1	1	2
PrileiEVm000108t1	10	0	21	4	59	2	10	0	1	1	0	145	88	48	28	0	4	1
PrileiEVm000109t1	2	6	44	47	127	36	341	5	33	6	2	46	76	337	48	6	12	27
PrileiEVm000110t1	21	16	65	70	492	113	425	7	41	27	11	183	153	1908	91	8	52	56
PrileiEVm000111t1	2	0	8	4	1287	11	14	1	5	0	0	20	10	27	15	3	20	3
PrileiEVm000112t1	0	2	0	1	13	1	2	1	0	0	0	1	98	15	3	1	1	1
PrileiEVm000113t1	3	1	5	3	28	7	39	0	5	0	1	7	19	140	5	0	4	5
PrileiEVm000114t1	3	1	19	25	116	21	78	3	6	3	0	49	54	56	29	11	5	5
PrileiEVm000115t1	1	4	29	34	140	37	108	3	16	12	4	79	62	281	29	5	15	13
PrileiEVm000116t1	10	11	67	66	257	77	200	6	22	15	7	171	212	985	92	3	37	31
PrileiEVm000117t1	3	2	17	9	44	25	36	2	25	3	2	3055	27	69	12	4	7	6
PrileiEVm000118t1	1	5	19	13	127	33	99	5	12	8	6	76	75	173	47	7	21	10
PrileiEVm000119t1	0	2	6	40	70	12	20	1	2	2	1	21	19	31	564	1	3	4
PrileiEVm000120t1	5	3	34	493	68	20	108	7	20	2	2	532	1174	82	70	4	26	8
PrileiEVm000121t1	11	20	60	95	353	171	354	4	17	9	8	346	204	674	63	14	30	37
PrileiEVm000122t1	5	6	45	35	177	38	141	2	14	7	8	135	165	645	50	10	20	15
PrileiEVm000123t1	0	1	4	3	24	1	20	0	0	1	0	3	72	29	9	0	4	0
PrileiEVm000124t1	2	0	0	2	11	46	11	3	5	1	6	203	7	100	5	1	2	1
PrileiEVm000125t1	2	2	3	414	22	7	22	2	4	1	1	17	8	80	5	1	2	0
PrileiEVm000126t1	5	5	12	19	90	85	71	2	5	3	1	50	40	161	49	1	10	5
PrileiEVm000127t1	0	0	1	3	11	3	252	0	2	1	0	2	1	8	2	0	0	0
PrileiEVm000128t1	1	1	3	2	11	4	61	0	5	3	0	10	11	37	7	1	1	0
PrileiEVm000129t1	7	0	2	3	12	0	220	0	0	1	1	7	12	46	46	0	4	4
PrileiEVm000130t1	0	0	2	2	30	6	10	0	3	0	0	45	10	15	2	0	0	2
PrileiEVm000131t1	1	1	5	0	364	1	8	1	3	1	0	4	3	8	7	0	3	0
PrileiEVm000132t1	41	34	180	187	1334	147	1456	17	26	52	15	473	74	1709	111	11	64	37
PrileiEVm000133t1	1	8	35	42	221	31	168	6	11	6	6	170	122	436	57	2	14	16
PrileiEVm000134t1	0	0	8	22	32	7	17	6	0	0	2	75	91	75	31	0	5	31
PrileiEVm000135t1	7	13	53	47	446	89	337	7	27	17	5	116	71	224	124	19	13	19
PrileiEVm000136t1	1	1	5	11	66	17	57	1	5	3	1	35	37	121	21	1	4	6
PrileiEVm000137t1	3	6	25	20	113	28	78	6	16	8	0	77	76	282	29	2	10	7
PrileiEVm000138t1	1	0	6	2	97	2	73	1	0	0	0	18	9	24	10	2	1	2
PrileiEVm000139t1	0	1	3	7	15	7	14	0	3	1	1	638	16	28	6	1	4	0
PrileiEVm000140t1	1	2	11	11	44	24	59	0	0	1	1	15	25	64	5	0	5	1
PrileiEVm000141t1	1	1	1	2	5	6	9	0	0	1	2	6	18	17	135	1	3	0
PrileiEVm000142t1	1	0	6	6	499	3	17	0	8	1	2	7	7	22	7	1	12	2
PrileiEVm000143t1	1	0	2	4	21	10	148	0	1	4	1	9	9	51	144	0	7	1
PrileiEVm000144t1	1	0	0	2	13	2	3	0	0	0	0	5	38	9	3	0	0	0
PrileiEVm000145t1	0	0	55	4	38	8	9	3	0	2	0	213	2	80	12	0	2	4
PrileiEVm000146t1	0	0	2	4	13	10	417	0	1	2	0	11	8	22	10	1	2	2
PrileiEVm000147t1	4	1	25	76	171	95	246	1	21	11	7	60	63	308	44	3	17	20
PrileiEVm000148t1	2	1	7	3	9	7	13	6	1	0	0	105	77	16	31	1	1	2
PrileiEVm000149t1	6	1	24	14	146	27	69	1	11	12	1	31	38	839	18	6	14	5
PrileiEVm000150t1	2	1	18	13	96	25	102	0	8	4	1	56	32	344	17	3	8	9
PrileiEVm000151t1	2	13	20	33	247	52	111	9	10	12	9	91	78	153	5180	12	52	23
PrileiEVm000152t1	5	5	56	48	215	73	170	6	21	10	7	139	65	423	49	8	20	40
PrileiEVm000153t1	0	7	37	37	212	32	184	0	7	12	1	44	43	137	30	21	12	17
