	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm001107t1	0	0	4	2	17	3	33	5	1	2	0	9	10	15	6	0	5	1
PrileiEVm001108t1	4	0	4	27	23	12	24	1	1	2	2	21	14	63	7	1	2	3
PrileiEVm001109t1	0	1	6	6	16	16	26	0	2	0	1	19	30	73	22	5	6	5
PrileiEVm001110t1	14	4	32	13	93	8	317	1	3	2	0	10	69	90	58	3	12	8
PrileiEVm001111t1	1	1	0	2	6	0	36	0	1	2	0	2	1	6	2	0	0	0
PrileiEVm001112t1	0	0	0	0	3	2	1	2	1	0	1	66	5	19	0	0	1	1
PrileiEVm001113t1	1	0	10	1	648	7	6	2	2	1	2	12	3	16	14	1	16	2
PrileiEVm001114t1	1	19	7	6	20	3	197	0	3	7	1	15	11	74	25	3	6	30
PrileiEVm001115t1	3	3	14	37	93	75	118	5	8	1	1	64	49	106	14	0	8	8
PrileiEVm001116t1	1	0	4	0	40	2	17	0	1	2	1	7	4	199	3	0	4	1
PrileiEVm001117t1	1	0	1	2	3	2	4	0	0	0	0	4	2	11	3	0	0	2
PrileiEVm001118t1	5	1	6	211	26	60	16	7	7	2	0	544	32	338	3	1	5	9
PrileiEVm001119t1	2	0	13	11	41	11	27	0	5	3	0	37	32	70	15	1	5	5
PrileiEVm001120t1	3	10	8	2	31	7	29	1	3	2	1	36	23	58	9	1	2	0
PrileiEVm001121t1	4	3	11	11	113	33	113	1	8	6	2	33	40	292	21	3	11	5
PrileiEVm001122t1	2	1	9	5	6	3	8	2	1	1	1	64	47	34	9	3	0	5
PrileiEVm001123t1	1	8	20	41	178	25	166	3	6	6	1	96	18	148	16	3	8	11
PrileiEVm001124t1	0	0	0	1	138	2	2	0	2	1	0	2	1	9	4	1	1	0
PrileiEVm001125t1	4	3	17	12	79	18	66	1	12	1	4	32	23	428	16	1	4	8
PrileiEVm001126t1	2	2	10	18	65	9	49	0	5	1	2	31	34	78	3	3	4	6
PrileiEVm001127t1	4	2	10	13	52	18	20	1	4	2	1	20	19	85	17	0	3	2
PrileiEVm001128t1	2	1	3	5	19	80	347	0	75	3	1	7	12	49	5	1	0	2
PrileiEVm001129t1	0	0	4	3	13	5	17	0	2	1	0	18	45	30	8	2	1	1
PrileiEVm001130t1	2	8	23	8	39	19	71	0	9	9	1	56	29	124	14	7	5	21
PrileiEVm001131t1	2	8	18	20	91	26	100	5	11	14	5	88	45	260	27	2	14	16
PrileiEVm001132t1	0	0	17	24	39	19	3574	0	8	6	0	30	29	51	12	5	2	11
PrileiEVm001133t1	0	0	4	0	11	2	103	0	3	2	0	5	11	17	69	0	2	1
PrileiEVm001134t1	2	3	24	65	121	106	147	3	23	3	1	85	69	151	33	5	8	15
PrileiEVm001135t1	1	2	6	13	48	7	28	1	1	1	2	13	19	192	16	4	6	7
PrileiEVm001136t1	1	0	4	6	38	13	35	0	7	1	1	16	14	148	4	1	3	4
PrileiEVm001137t1	0	3	1	1	11	2	11	0	0	0	0	13	20	23	10	10	0	1
PrileiEVm001138t1	1	2	7	1	488	2	10	0	2	0	1	11	8	16	25	0	14	0
PrileiEVm001139t1	0	0	5	1	81	2	7	1	1	1	1	2	1	7	2	0	2	0
PrileiEVm001140t1	7	5	18	18	59	24	82	2	6	3	0	13	42	80	25	3	5	11
PrileiEVm001141t1	1	0	2	2	4	0	3	1	0	0	0	51	21	2	5	1	0	0
PrileiEVm001142t1	0	1	12	3	41	10	40	2	4	2	0	18	16	111	6	17	4	4
PrileiEVm001143t1	0	1	2	5	88	22	8	6	1	0	2	19	20	30	5	5	8	1
PrileiEVm001144t1	0	0	0	0	5	2	4	0	0	0	0	2	15	6	4	0	2	0
PrileiEVm001145t1	1	0	0	0	5	2	8	0	2	0	0	8	3	11	2	0	0	0
PrileiEVm001146t1	4	3	32	10	2538	14	37	5	5	5	2	25	20	120	30	4	39	10
PrileiEVm001147t1	7	1	16	9	64	33	31	27	9	6	14	613	201	865	111	1	26	6
PrileiEVm001148t1	2	5	0	3	78	2	5	1	0	2	0	2	15	30	13	2	1	0
PrileiEVm001149t1	0	0	1	4	13	0	16	1	0	0	0	14	113	35	7	4	5	1
PrileiEVm001150t1	0	1	4	11	39	18	57	1	2	1	0	42	18	69	8	4	4	6
PrileiEVm001151t1	5	1	1	3	19	8	495	0	3	1	0	12	2	25	2	1	0	4
PrileiEVm001152t1	9	14	41	40	206	51	239	3	28	20	4	131	91	706	46	7	32	24
PrileiEVm001153t1	0	0	0	4	7	2	7	0	0	0	0	4	15	11	21	0	2	1
PrileiEVm001154t1	0	1	6	5	41	9	10	0	3	0	0	48	158	20	24	0	1	1
PrileiEVm001155t1	1	1	5	13	36	15	46	0	4	4	0	18	19	105	4	1	3	2
PrileiEVm001156t1	0	0	1	3	9	99	4	2	3	1	0	43	8	10	4	1	1	0
PrileiEVm001157t1	1	0	2	6	62	41	46	0	1	2	1	13	5	14	0	1	0	1
PrileiEVm001158t1	1	7	19	30	84	48	74	2	7	1	1	52	18	296	9	2	9	2
PrileiEVm001159t1	0	0	11	1	15	3	9	3	3	1	1	133	50	55	44	1	5	0
PrileiEVm001160t1	4	1	24	55	228	22	105	0	7	6	1	13	7	88	14	2	1	6
PrileiEVm001161t1	1	1	8	3	23	49	10	1	1	6	1	29	9	562	2	0	5	2
PrileiEVm001162t1	13	12	60	66	439	111	333	5	31	24	8	229	177	948	83	16	55	36
PrileiEVm001163t1	41	0	1	1	31	1	84	0	0	0	6	4	7	21	2	0	1	0
PrileiEVm001164t1	5	7	18	2	43	13	46	2	4	3	4	160	23	94	23	1	8	6
PrileiEVm001165t1	1	3	16	14	80	12	61	4	10	2	2	39	35	173	17	5	3	2
PrileiEVm001166t1	0	0	2	0	3	1	2	0	0	1	0	0	17	2	1	0	1	0
PrileiEVm001167t1	2	2	4	6	61	27	46	2	0	1	1	30	32	68	11	1	5	1
PrileiEVm001168t1	2	2	10	2	42	28	32	3	2	2	1	7	6	10	1	1	1	1
PrileiEVm001169t1	6	6	64	40	157	38	177	3	21	13	7	165	165	315	55	10	13	43
PrileiEVm001170t1	2	1	24	6	77	12	416	1	2	4	0	27	24	91	19	4	11	9
PrileiEVm001171t1	0	0	2	0	5	2	2	0	0	0	0	1	30	4	3	0	0	0
PrileiEVm001172t1	1	0	1	1	94	0	5	0	0	5	0	1	1	14	3	0	0	0
PrileiEVm001173t1	0	0	1	2	71	29	12	0	0	1	0	4	1	19	2	0	2	1
PrileiEVm001174t1	5	3	14	23	115	15	76	1	7	5	2	82	78	222	29	1	22	10
PrileiEVm001175t1	3	0	21	8	116	9	50	1	4	3	0	26	15	65	19	2	6	10
PrileiEVm001176t1	2	5	19	13	46	11	36	2	5	6	2	166	79	76	48	3	6	5
PrileiEVm001177t1	1	0	0	2	8	2	63	0	0	0	0	1	1	12	42	0	3	0
PrileiEVm001178t1	5	0	4	66	10	15	80	2	2	3	1	25	18	17	6	1	0	8
PrileiEVm001179t1	1	0	6	9	173	83	92	6	2	2	1	207	18	238	15	3	11	1
PrileiEVm001180t1	0	0	3	2	9	3	5	1	0	0	0	7	139	14	16	1	6	0
PrileiEVm001181t1	2	1	19	17	44	84	23	2	22	2	6	55	70	78	17	4	1	4
PrileiEVm001182t1	2	1	4	7	53	8	22	0	4	3	1	24	22	91	7	5	7	1
PrileiEVm001183t1	0	0	29	29	8	5	37	0	3	0	1	18	3	11	0	0	0	0
PrileiEVm001184t1	1	2	6	8	49	6	802	1	1	4	1	14	14	44	8	1	4	5
PrileiEVm001185t1	1	2	6	2	12	3	41	0	0	4	2	3	21	18	3	12	1	36
PrileiEVm001186t1	1	1	10	8	37	5	41	0	1	2	0	18	37	114	10	1	4	5
PrileiEVm001187t1	2	0	7	10	52	6	55	1	9	2	2	27	30	140	11	5	6	6
PrileiEVm001188t1	0	0	1	2	7	11	17	0	5	1	1	152	8	10	49	0	0	0
PrileiEVm001189t1	1	1	5	7	36	7	51	0	1	0	0	2	6	80	19	1	3	2
PrileiEVm001190t1	1	0	1	2	7	2	293	0	0	0	0	4	5	15	0	2	1	2
PrileiEVm001191t1	0	0	5	9	4	17	12	6	0	0	1	29	10	37	0	3	2	17
PrileiEVm001192t1	1	0	0	2	6	8	6	0	0	0	3	57	12	32	1	0	1	1
PrileiEVm001193t1	0	0	8	70	21	5	19	2	5	2	0	1591	15	48	2	1	7	1
PrileiEVm001194t1	0	0	1	1	6	0	13	0	0	0	0	4	5	14	1	0	1	0
PrileiEVm001195t1	4	1	3	19	24	12	20	3	4	1	4	683	8	156	6	9	9	21
PrileiEVm001196t1	0	0	0	0	6	0	176	2	0	0	0	9	1	10	2	0	0	0
PrileiEVm001197t1	1	1	1	6	25	5	5	1	1	0	0	11	4	60	5	1	2	2
PrileiEVm001198t1	2	7	66	17	757	13	545	3	6	13	1	24	15	164	52	4	20	14
PrileiEVm001199t1	1	5	42	32	126	41	115	6	44	15	8	12635	57	219	31	10	31	15
PrileiEVm001200t1	2	1	14	17	91	36	65	4	16	2	0	55	35	102	21	6	5	3
PrileiEVm001201t1	0	1	2	1	22	6	10	0	1	1	0	6	11	25	1	1	3	0
PrileiEVm001202t1	2	4	11	7	114	36	79	2	5	11	6	57	25	268	20	5	8	19
PrileiEVm001203t1	0	1	1	0	6	1	4	1	1	1	2	33	64	10	8	3	5	1
PrileiEVm001204t1	1	0	8	7	78	45	120	1	2	3	0	9	12	78	6	1	3	0
PrileiEVm001205t1	3	2	3	6	15	2	8	2	0	2	0	11	12	20	3	1	4	2
PrileiEVm001206t1	5	3	9	89	121	12	217	4	3	10	1	19	37	237	12	2	14	5
PrileiEVm001207t1	1	7	17	11	87	19	96	1	7	13	0	27	12	654	11	2	17	13
PrileiEVm001208t1	0	1	1	0	2	1	3	0	1	0	0	0	2	4	25	0	0	0
PrileiEVm001209t1	1	0	3	6	39	10	58	0	3	1	0	15	5	57	7	1	1	4
PrileiEVm001210t1	1	0	2	14	51	19	57	2	3	2	4	20	29	41	13	7	2	11
PrileiEVm001211t1	0	5	17	18	104	17	71	1	6	5	2	68	66	124	19	3	10	4
PrileiEVm001212t1	0	0	2	1	8	2	6	1	3	0	0	6	3	48	2	0	7	3
PrileiEVm001213t1	0	1	0	0	6	1	5	1	2	0	1	4	61	12	16	3	3	0
PrileiEVm001214t1	0	2	2	1	17	1	8	0	0	0	0	3	0	43	3	0	0	2
PrileiEVm001215t1	0	1	4	7	29	3	18	0	2	0	0	19	15	75	3	1	1	0
PrileiEVm001216t1	3	0	3	3	41	6	37	0	3	1	0	11	13	217	3	0	3	7
PrileiEVm001217t1	1	2	26	76	125	23	116	2	6	0	0	139	78	143	32	4	10	7
PrileiEVm001218t1	0	2	0	2	18	6	7	0	3	1	0	14	4	45	2	5	2	2
PrileiEVm001219t1	0	1	4	5	54	4	25	1	3	0	0	15	20	118	4	1	7	4
PrileiEVm001220t1	0	0	2	5	39	2	7	0	13	0	0	8	9	275	11	0	9	2
PrileiEVm001221t1	1	3	16	17	387	9	214	3	10	0	2	29	29	92	69	32	18	13
PrileiEVm001222t1	0	0	7	5	19	4	16	1	1	1	1	13	229	23	56	1	5	2
PrileiEVm001223t1	1	1	15	39	80	12	94	2	11	2	2	87	22	78	11	2	5	5
PrileiEVm001224t1	0	0	2	1	49	2	29	0	1	0	0	1	2	7	2	0	1	1
PrileiEVm001225t1	0	0	0	2	11	3	35	0	0	2	1	7	4	25	12	1	3	3
PrileiEVm001226t1	0	0	3	2	7	9	5	0	4	2	1	342	6	19	1	1	1	2
PrileiEVm001227t1	2	0	2	0	7	11	6	0	0	0	3	45	13	9	1	2	1	0
PrileiEVm001228t1	0	0	4	2	166	1	9	1	1	1	0	3	6	29	9	2	3	0
PrileiEVm001229t1	1	6	11	44	103	10	102	1	5	1	0	19	19	100	6	1	5	0
PrileiEVm001230t1	3	6	30	63	177	44	116	9	23	9	3	80	73	174	44	6	12	15
PrileiEVm001231t1	1	1	6	8	13	12	15	2	4	1	1	19	118	28	41	1	4	5
PrileiEVm001232t1	5	8	20	26	115	38	112	2	14	3	0	49	44	183	19	0	8	5
PrileiEVm001233t1	0	0	9	2	71	1	51	0	0	2	0	8	0	11	6	0	2	1
PrileiEVm001234t1	0	0	0	5	77	2	10	0	2	0	0	7	3	8	2	0	1	0
PrileiEVm001235t1	1	0	0	4	102	0	8	0	0	0	1	4	2	7	2	1	1	1
PrileiEVm001236t1	2	4	14	10	33	10	29	0	1	1	0	21	16	117	10	2	4	3
PrileiEVm001237t1	1	1	6	2	18	6	152	0	1	2	5	5	18	82	6	1	5	1
PrileiEVm001238t1	0	0	1	3	15	4	5	1	2	0	0	1	128	11	3	0	2	0
PrileiEVm001239t1	4	2	0	3	11	3	140	1	0	0	0	1	8	15	91	1	1	0
PrileiEVm001240t1	1	1	10	7	81	3	104	1	1	0	1	8	6	82	5	0	2	3
PrileiEVm001241t1	1	2	5	0	8	41	16	1	0	0	3	38	3	92	1	1	3	0
PrileiEVm001242t1	4	0	2	4	40	10	113	0	1	4	1	8	5	56	15	0	5	6
PrileiEVm001243t1	3	5	18	20	76	21	97	6	14	4	4	82	39	169	37	9	6	5
PrileiEVm001244t1	0	1	0	3	9	5	157	0	1	1	0	8	4	16	3	0	1	1
PrileiEVm001245t1	0	2	8	9	90	25	82	4	7	0	0	30	25	332	12	1	9	6
PrileiEVm001246t1	0	0	1	2	2	2	5	0	1	1	0	1	31	4	0	0	2	0
PrileiEVm001247t1	1	0	0	6	18	0	12	0	0	1	2	44	18	39	2	0	5	1
PrileiEVm001248t1	1	16	13	7	49	15	139	1	5	9	4	75	41	161	16	5	3	8
PrileiEVm001249t1	0	0	3	5	5	0	6	0	0	1	0	169	2	8	0	0	2	1
PrileiEVm001250t1	3	5	9	13	108	36	206	1	10	10	1	20	9	315	23	3	12	25
PrileiEVm001251t1	7	0	1	3	8	2	416	0	3	2	0	2	2	15	4	0	0	2
PrileiEVm001252t1	1	0	1	0	6	0	6	0	0	0	0	64	11	6	0	0	2	1
PrileiEVm001253t1	2	5	36	53	176	279	45	7	11	3	16	146	385	295	106	22	25	14
PrileiEVm001254t1	2	2	3	27	62	14	24	3	1	0	1	10	2	45	0	0	3	5
PrileiEVm001255t1	0	0	1	3	91	2	6	0	0	0	0	6	3	12	2	0	1	1
PrileiEVm001256t1	0	0	6	25	90	27	214	0	1	6	0	7	4	129	19	0	7	33
PrileiEVm001257t1	4	0	3	10	47	8	216	0	5	2	0	16	11	134	16	1	9	2
PrileiEVm001258t1	0	0	0	5	5	2	5	1	0	0	0	8	25	9	1	1	3	0
PrileiEVm001259t1	7	2	15	2	10	4	43	0	1	0	0	6	33	28	22	2	2	2
PrileiEVm001260t1	0	1	5	2	64	6	11	1	3	0	0	21	80	34	223	2	8	0
PrileiEVm001261t1	3	7	24	21	150	24	106	2	11	3	3	84	152	495	52	3	15	18
PrileiEVm001262t1	6	2	29	3	371	10	293	0	6	2	0	5	10	64	36	0	7	6
PrileiEVm001263t1	2	2	12	19	81	16	73	1	6	6	1	31	32	199	11	3	4	9
PrileiEVm001264t1	1	0	3	1	6	1	9	2	0	0	0	19	12	43	2	0	2	0
PrileiEVm001265t1	5	4	7	3	26	34	43	1	4	0	0	188	29	44	4	1	1	0
PrileiEVm001266t1	0	1	0	3	24	5	13	0	1	0	1	3	1	21	246	1	3	4
PrileiEVm001267t1	1	0	6	16	53	17	47	4	1	4	0	37	35	65	8	1	0	1
PrileiEVm001268t1	0	0	4	1	194	2	9	0	1	2	0	60	2	17	5	0	6	0
PrileiEVm001269t1	4	2	16	15	94	8	75	1	5	6	0	57	57	191	22	1	6	6
PrileiEVm001270t1	0	0	0	2	5	1	2	0	0	0	0	4	53	6	0	0	1	0
PrileiEVm001271t1	1	7	10	15	44	24	65	0	6	2	1	25	15	109	8	1	4	7
PrileiEVm001272t1	4	2	14	18	90	18	78	3	7	5	3	26	29	104	28	2	2	16
PrileiEVm001273t1	7	2	7	2	133	26	350	8	9	7	3	17	23	288	9	2	11	19
PrileiEVm001274t1	0	0	2	3	12	3	432	0	0	8	0	2	2	8	1	0	1	5
PrileiEVm001275t1	1	1	3	3	336	1	9	1	3	1	0	20	3	19	9	2	6	2
PrileiEVm001276t1	20	1	6	6	34	12	307	1	7	12	3	135	53	157	17	3	10	1
PrileiEVm001277t1	3	1	1	0	28	1	44	0	0	2	0	2	6	38	6	0	1	1
PrileiEVm001278t1	0	0	0	1	9	1	2	0	0	0	1	0	1	36	1	3	0	1
PrileiEVm001279t1	1	0	6	4	47	8	43	1	2	0	1	13	15	78	6	2	7	6
PrileiEVm001280t1	3	3	10	4	26	4	28	0	4	5	1	18	8	86	5	0	1	6
PrileiEVm001281t1	1	3	5	53	16	469	14	0	2	0	0	18	8	26	2	0	2	1
PrileiEVm001282t1	0	0	8	10	42	13	17	0	2	0	1	29	29	51	18	0	4	9
PrileiEVm001283t1	0	1	2	4	22	6	17	3	3	0	2	15	4	104	11	2	6	2
PrileiEVm001284t1	0	1	1	1	7	0	7	0	0	1	1	158	2	8	3	0	1	0
PrileiEVm001285t1	4	0	13	129	253	7	194	1	2	5	0	6	6	101	16	1	6	1
PrileiEVm001286t1	1	2	7	1	423	7	19	3	2	0	0	17	8	22	18	1	7	5
PrileiEVm001287t1	4	0	8	4	200	5	15	1	1	0	1	7	4	12	26	1	1	1
PrileiEVm001288t1	0	1	2	2	282	3	5	1	2	0	1	4	4	14	7	1	9	2
PrileiEVm001289t1	0	0	1	0	4	1	2	0	1	0	0	1	9	5	0	4	1	34
PrileiEVm001290t1	0	1	0	0	6	0	43	0	0	0	1	3	6	12	17	0	1	1
PrileiEVm001291t1	0	0	2	2	7	4	12	0	0	0	0	3	24	7	33	0	1	0
PrileiEVm001292t1	0	2	21	59	63	21	54	1	4	3	5	89	11	95	13	3	4	1
PrileiEVm001293t1	0	3	7	7	37	9	37	0	4	1	2	18	11	146	3	2	11	10
PrileiEVm001294t1	7	12	75	65	348	87	390	6	33	22	3	197	142	1318	69	10	28	37
PrileiEVm001295t1	0	0	1	3	9	2	5	0	0	0	0	5	44	6	3	3	2	0
PrileiEVm001296t1	4	5	22	20	89	19	86	0	5	5	1	23	30	746	13	3	32	13
PrileiEVm001297t1	0	2	1	54	40	4	52	0	0	22	1	33	4	58	1	2	5	2
PrileiEVm001298t1	1	0	1	1	20	2	8	0	7	1	1	5	7	118	3	2	1	28
PrileiEVm001299t1	0	0	0	2	125	7	18	0	1	1	0	4	2	33	0	2	3	2
PrileiEVm001300t1	0	0	0	2	5	2	3	0	0	1	0	0	17	6	15	0	0	7
PrileiEVm001301t1	1	2	3	51	25	342	590	3	115	0	37	26	11	60	10	1	4	3
PrileiEVm001302t1	0	0	3	2	30	2	7	0	0	0	0	8	17	29	9	0	2	0
PrileiEVm001303t1	0	1	31	5	42	2	8	1	0	6	0	33	20	101	17	0	14	0
PrileiEVm001304t1	1	2	4	2	59	1	72	0	0	0	0	3	1	46	3	1	1	0
PrileiEVm001305t1	0	0	2	9	36	5	24	1	1	0	1	20	15	77	11	2	1	1
PrileiEVm001306t1	0	0	1	0	11	1	5	0	0	1	0	4	73	3	14	0	2	0
PrileiEVm001307t1	0	1	5	5	202	4	6	1	1	5	0	4	2	9	7	5	9	0
PrileiEVm001308t1	1	4	8	8	51	11	37	3	8	5	1	55	529	92	64	12	13	18
PrileiEVm001309t1	2	1	15	15	97	10	113	0	6	5	2	35	23	83	16	1	3	11
PrileiEVm001310t1	3	0	12	6	91	20	35	2	11	9	2	25	15	386	13	2	13	11
PrileiEVm001311t1	0	1	3	1	5	2	314	0	3	0	0	5	3	7	5	2	2	3
PrileiEVm001312t1	0	0	157	25	12	0	5	0	1	0	0	1	6	3	0	1	0	0
PrileiEVm001313t1	0	0	1	2	4	0	6	1	0	1	0	8	28	7	4	0	1	0
PrileiEVm001314t1	0	0	3	2	7	176	16	0	0	5	0	9	15	8	0	2	0	0
PrileiEVm001315t1	0	0	0	3	3	2	2	0	0	1	0	4	63	4	18	0	4	1
PrileiEVm001316t1	84	82	158	507	2354	1930	3073	17	471	54	24	1004	486	2647	408	107	162	220
PrileiEVm001317t1	0	0	10	1	6	1	1	0	0	0	1	1	3	7	0	0	0	0
PrileiEVm001318t1	3	1	13	2	211	2	37	0	2	2	1	7	7	21	10	1	2	1
PrileiEVm001319t1	2	4	4	12	57	8	33	4	6	2	2	24	24	102	15	2	2	4
PrileiEVm001320t1	0	1	6	7	12	7	6	2	4	2	0	33	30	69	0	0	5	1
PrileiEVm001321t1	0	3	5	8	34	10	14	1	5	1	0	28	24	122	5	1	9	5
PrileiEVm001322t1	1	0	0	0	6	15	3	1	1	0	0	27	7	5	2	1	2	0
PrileiEVm001323t1	1	3	10	4	24	7	16	0	2	0	0	11	5	57	8	7	3	4
PrileiEVm001324t1	9	1	2	5	22	35	11	0	3	0	6	173	11	60	3	0	1	0
PrileiEVm001325t1	0	0	0	0	3	2	2	0	0	0	0	1	15	7	1	0	0	0
PrileiEVm001326t1	4	0	6	0	12	8	3	0	3	0	0	30	15	67	17	0	1	0
PrileiEVm001327t1	5	2	2	3	18	4	361	0	1	4	1	12	8	57	86	2	3	2
PrileiEVm001328t1	2	2	17	14	70	17	62	1	7	13	2	25	25	201	8	1	10	18
PrileiEVm001329t1	1	3	59	8	57	14	47	1	5	1	0	64	27	116	13	2	5	5
PrileiEVm001330t1	3	1	6	11	68	13	97	5	3	2	0	42	44	88	10	6	1	3
PrileiEVm001331t1	2	6	15	14	99	31	76	0	8	6	1	36	32	169	17	3	13	4
PrileiEVm001332t1	0	2	14	19	58	18	103	1	6	5	1	61	34	139	15	6	6	9
PrileiEVm001333t1	0	0	2	2	9	2	73	0	2	0	0	3	7	15	1	0	0	4
PrileiEVm001334t1	0	1	4	6	32	6	19	1	2	2	0	16	14	93	5	1	4	1
PrileiEVm001335t1	0	0	1	0	4	1	4	0	0	0	0	1	18	9	0	0	0	1
PrileiEVm001336t1	3	9	82	104	890	29	203	5	6	5	28	35	32	150	42	4	32	10
PrileiEVm001337t1	2	4	39	63	224	68	302	6	13	15	5	96	104	447	45	26	19	72
PrileiEVm001338t1	1	4	20	17	82	21	71	2	4	3	2	53	30	84	18	2	4	8
PrileiEVm001339t1	6	4	155	32	213	120	354	6	44	61	11	116	36	178	52	18	18	723
PrileiEVm001340t1	0	0	3	0	4	2	4	0	0	2	0	2	2	10	10	2	0	0
PrileiEVm001341t1	1	0	2	1	22	2	19	0	1	1	0	9	6	44	8	0	1	1
PrileiEVm001342t1	0	0	3	0	4	3	3	1	0	0	0	5	42	9	4	0	0	0
PrileiEVm001343t1	2	0	0	3	8	4	32	0	1	0	0	8	6	24	19	0	2	2
PrileiEVm001344t1	1	0	5	3	22	3	22	1	0	0	0	4	8	86	5	4	5	1
PrileiEVm001345t1	0	1	5	3	52	3	8	0	0	0	0	7	8	7	20	1	1	2
PrileiEVm001346t1	4	0	3	0	13	11	72	1	2	0	0	4	3	7	67	3	1	0
PrileiEVm001347t1	0	1	1	1	3	1	142	0	0	1	0	1	5	24	0	2	2	0
PrileiEVm001348t1	0	2	1	2	8	78	8	0	4	1	0	382	9	17	1	1	5	1
PrileiEVm001349t1	0	0	2	2	12	5	9	0	0	1	1	8	95	7	3	0	3	1
PrileiEVm001350t1	1	0	1	1	10	3	203	1	0	3	0	2	4	15	93	1	2	1
PrileiEVm001351t1	5	0	6	2	6	1	3	0	0	0	1	11	1	20	0	0	2	2
PrileiEVm001352t1	2	2	15	36	13	25	136	1	0	1	0	74	9	118	16	0	5	2
PrileiEVm001353t1	0	0	1	0	13	3	145	0	0	1	0	2	3	9	1	0	0	0
PrileiEVm001354t1	5	2	6	1	14	2	152	1	1	1	0	4	10	43	104	4	3	4
PrileiEVm001355t1	1	0	0	8	5	6	3	0	3	0	0	33	1	6	0	0	1	0
PrileiEVm001356t1	2	1	3	11	8	5	20	0	2	11	2	30	3	91	3	1	0	0
PrileiEVm001357t1	2	10	21	52	195	33	153	2	10	5	0	76	52	275	28	6	16	10
PrileiEVm001358t1	1	0	20	37	115	31	82	4	4	5	0	56	50	108	21	5	10	11
PrileiEVm001359t1	2	5	28	27	80	22	86	4	4	8	2	64	82	168	24	11	8	6
PrileiEVm001360t1	3	5	19	46	179	24	112	1	10	2	5	93	31	79	27	6	9	4
PrileiEVm001361t1	0	1	1	0	4	1	168	0	1	0	0	0	1	8	0	1	1	0
PrileiEVm001362t1	0	0	1	20	3	8	2	2	4	0	0	95	3	36	0	1	0	1
PrileiEVm001363t1	1	0	0	9	1	3	3	2	1	0	0	3	45	5	1	0	2	0
PrileiEVm001364t1	0	0	1	0	2	1	2	0	0	0	0	38	6	8	1	0	1	0
PrileiEVm001365t1	0	1	2	2	5	39	4	0	1	0	1	79	7	30	2	0	1	0
PrileiEVm001366t1	1	1	33	19	138	22	178	3	13	10	2	43	51	142	34	5	9	28
PrileiEVm001367t1	1	0	5	1	8	0	9	0	1	0	1	34	15	9	3	0	0	1
PrileiEVm001368t1	1	0	1	21	18	11	10	0	1	1	2	9	62	13	2	0	6	1
PrileiEVm001369t1	1	2	18	10	61	16	57	2	2	7	2	28	17	231	4	5	7	8
PrileiEVm001370t1	210	6	3	9	275	7	111	3	4	4	186	17	23	45	10	1	3	5
PrileiEVm001371t1	0	1	1	2	3	1	3	1	0	1	0	81	11	11	0	0	0	0
PrileiEVm001372t1	0	0	3	196	14	5	8	0	4	2	2	61	7	52	2	0	2	0
PrileiEVm001373t1	0	0	2	1	6	3	4	0	0	0	0	3	10	8	50	2	0	0
PrileiEVm001374t1	0	0	0	3	13	3	267	0	1	2	0	10	4	12	3	1	0	3
PrileiEVm001375t1	2	5	2	8	46	7	47	1	5	1	1	28	19	72	4	1	1	8
PrileiEVm001376t1	1	1	11	2	81	10	73	0	0	4	0	13	3	52	12	2	7	0
PrileiEVm001377t1	3	4	13	12	83	6	390	1	3	2	3	24	19	106	15	5	10	7
PrileiEVm001378t1	0	1	0	2	132	3	13	0	3	0	0	5	2	9	4	0	8	0
PrileiEVm001379t1	3	1	3	3	44	11	74	1	1	0	2	17	10	23	36	2	1	3
PrileiEVm001380t1	6	1	17	38	63	29	116	7	8	3	4	36	23	198	17	2	3	4
PrileiEVm001381t1	0	1	3	1	7	4	7	0	4	1	0	275	4	20	3	1	2	2
PrileiEVm001382t1	1	3	4	4	26	0	28	0	1	0	0	9	8	39	8	0	4	0
PrileiEVm001383t1	0	0	0	2	6	2	444	0	0	1	0	4	3	11	0	0	0	1
PrileiEVm001384t1	1	4	19	4	213	14	60	0	0	2	0	6	4	31	3	0	12	0
PrileiEVm001385t1	1	1	5	9	38	15	17	1	0	1	0	28	10	50	4	0	1	2
PrileiEVm001386t1	5	3	8	7	49	26	40	1	1	1	5	150	32	91	15	2	3	6
PrileiEVm001387t1	0	0	5	7	40	11	25	0	12	6	0	26	33	62	16	2	3	8
PrileiEVm001388t1	0	0	1	2	12	315	7	0	1	0	0	25	5	82	2	0	0	0
PrileiEVm001389t1	1	5	18	29	83	17	66	1	3	4	0	45	17	86	21	4	1	7
PrileiEVm001390t1	5	8	50	20	161	65	147	5	10	32	4	56	54	587	10	9	15	40
PrileiEVm001391t1	3	0	16	7	152	25	26	4	20	0	0	21	12	1428	19	1	43	1
PrileiEVm001392t1	0	0	3	2	55	3	48	0	1	0	0	1	3	4	2	0	1	0
PrileiEVm001393t1	1	1	7	7	58	22	36	2	4	1	0	23	29	239	17	1	9	1
PrileiEVm001394t1	1	1	6	1	31	0	124	0	0	0	0	4	3	53	10	2	3	1
