logFC	AveExpr	t	P.Value	adj.P.Val	B	rank	DGE.pval	DGE.padj
PrileiEVm000040t1	2.86800522922207	5.30518403627763	5.29506672865084	0.00000221596750980826	0.000140123088375709	4.73576232609326	162169.537699695	up	UP
PrileiEVm017763t1	2.08717695043761	5.28479550478389	5.29396176030823	0.00000222480749879539	0.000140123088375709	4.73264295490678	117982.009274976	up	UP
PrileiEVm023487t1	3.18083739789589	5.4806264615546	5.29082790544187	0.00000225006869775917	0.000140123088375709	4.72070591000394	179647.4688554	up	UP
PrileiEVm000784t1	2.70407690720898	4.5588236410106	5.28921076232036	0.00000226321452577813	0.000140123088375709	4.71795991144831	152652.558104075	up	UP
PrileiEVm002561t1	2.44683828717489	7.68992591518485	5.28809413702256	0.00000227233580755846	0.000140123088375709	4.70668360685107	138087.99131973	up	UP
PrileiEVm015316t1	2.27025252968009	5.13955849358783	5.28542844062292	0.00000229425771597148	0.000140123088375709	4.70398974025677	128027.663089881	up	UP
PrileiEVm007252t1	3.00745056639249	5.46433999401272	5.28455641303316	0.00000230147419612566	0.000140123088375709	4.69973968145175	169559.879178113	up	UP
PrileiEVm026535t1	3.15819150646336	4.73469496337814	5.27858359624248	0.0000023515077557497	0.000141273430375424	4.68135960557737	177763.65943469	up	UP
PrileiEVm000467t1	2.51779075083323	5.89195006625917	5.27828975805988	0.00000235399669751956	0.000141273430375424	4.67775279320504	141706.151767142	up	UP
PrileiEVm009031t1	2.28576097909581	6.38703179099557	5.26972206852614	0.00000242772229521042	0.000144664700172752	4.64744508274587	128340.930158246	up	UP
PrileiEVm007047t1	2.42096987577848	4.97176049721445	5.25967259303729	0.00000251710442414806	0.000148934587124591	4.61712026828287	135552.494464493	up	UP
PrileiEVm003408t1	2.48777485318573	4.44012695702348	5.23691747542391	0.00000273165957864245	0.000159384748470513	4.54155796464932	138409.180573466	up	UP
PrileiEVm021382t1	3.04607240894167	6.51490658919961	5.23880879676821	0.00000271315998782881	0.000159384748470513	4.54150593505202	169560.369864625	up	UP
PrileiEVm005708t1	2.84816759109681	5.68757844280003	5.23265998886345	0.00000277375956686891	0.000160725019867811	4.52341153062122	158270.713123377	up	UP
PrileiEVm010996t1	3.01760084761051	5.09520694337876	5.22754199481998	0.0000028252158691527	0.000162223831346991	4.5077312774333	167445.112835205	up	UP
PrileiEVm007546t1	2.4271031457025	5.22840419795273	5.2262610235507	0.00000283824127683976	0.000162223831346991	4.50345784095752	134630.214645063	up	UP
PrileiEVm017766t1	2.56066742837287	5.36400133501611	5.22278061489245	0.00000287393104526068	0.000163153842177569	4.49134159520377	141899.99129942	up	UP
PrileiEVm008032t1	2.52484210910829	4.70008194760516	5.20929514693309	0.00000301644303443885	0.000170094995807753	4.4476459537422	139384.031641772	up	UP
PrileiEVm015165t1	2.54872060313296	4.85255502765044	5.2028847353812	0.00000308660733255085	0.000172891165387281	4.42559603724045	140447.723316615	up	UP
PrileiEVm009833t1	2.61671824521387	4.93333197422865	5.19640919222561	0.00000315911691334269	0.000175780796727849	4.40358521395475	143930.867928772	up	UP
PrileiEVm000058t1	2.18549859007912	7.54374751270686	5.18011789097947	0.00000334904351284749	0.00018366612359861	4.34136675145922	119657.778935907	up	UP
PrileiEVm008329t1	3.47895904759487	7.73401916246443	5.18041445200303	0.00000334548764970355	0.00018366612359861	4.33991763208796	190491.814031183	up	UP
PrileiEVm000205t1	2.30201738784417	5.30443860541021	5.17607509635296	0.00000339789088237609	0.00018366612359861	4.33406137048998	125892.509869673	up	UP
PrileiEVm009365t1	2.4900189917496	6.8775144727368	5.17701163025807	0.00000338651305329823	0.00018366612359861	4.33217447476754	136210.195322763	up	UP
PrileiEVm002256t1	1.97953292434736	7.48636362272676	5.17507108104015	0.00000341013035960286	0.00018366612359861	4.32473138308875	108225.59847751	up	UP
PrileiEVm002333t1	2.80706070568297	5.99943946410563	5.16762725097964	0.00000350223925313383	0.000187425568183633	4.30291908679876	153143.524968997	up	UP
PrileiEVm003521t1	3.56275204140388	6.05462040386931	5.15488647374956	0.00000366561123898715	0.000194926997658038	4.2589056841852	193665.984979856	up	UP
PrileiEVm001552t1	2.80465402457258	4.42776906448626	5.14976665440036	0.0000037333553347501	0.000197280827185977	4.24804024285024	152233.834665473	up	UP
PrileiEVm022682t1	2.91186002124628	5.27367726230128	5.14586688588267	0.000003785781855892	0.000197890000296144	4.23208008243045	157876.519921262	up	UP
PrileiEVm009629t1	2.66528556701786	5.17213012248877	5.14540870377141	0.00000379198881786231	0.000197890000296144	4.23106774968577	144488.674138943	up	UP
PrileiEVm004315t1	3.2794869834734	5.59495016548415	5.13453108972818	0.00000394232569839442	0.00020352349634353	4.19235787470274	177231.593283998	up	UP
PrileiEVm001999t1	2.98234108524544	5.32910517344338	5.13410128689165	0.00000394838489692876	0.00020352349634353	4.19218798192175	161153.201862398	up	UP
PrileiEVm004107t1	2.88052976026024	6.26679926079336	5.12737096322638	0.00000404447111734545	0.000207205160536198	4.16626507636643	155350.952638815	up	UP
PrileiEVm003567t1	2.62384953850896	6.33939467920796	5.1201773956372	0.00000414971649757233	0.000211308594015774	4.14213702793213	141215.098655938	up	UP
PrileiEVm007436t1	2.18448561832901	5.48382213085847	5.09346345101115	0.00000456468192529137	0.000230322940309253	4.05598541192626	116664.409112464	up	UP
PrileiEVm018010t1	2.39626914557193	4.86909748554617	5.08948342215718	0.00000462990482672818	0.000230322940309253	4.04475803299475	127827.250731203	up	UP
PrileiEVm011137t1	2.41260097186021	5.47874528092135	5.08989575809613	0.00000462310529377111	0.000230322940309253	4.04387103561035	128713.859356169	up	UP
PrileiEVm007207t1	2.24651446393748	5.61168788407047	5.08930953868296	0.00000463277516213565	0.000230322940309253	4.04157659867466	119832.648442724	up	UP
PrileiEVm000247t1	2.18946168128481	5.30946526907787	5.08619722630572	0.00000468444799700054	0.000231521953357639	4.03231447779011	116683.891712413	up	UP
PrileiEVm018983t1	2.38544455350057	5.00040168877854	5.06859126605151	0.0000049876108647572	0.00024506378061807	3.97442138671302	126478.83309307	up	UP
PrileiEVm007451t1	3.01430074477579	4.464661094191	5.06484016956165	0.00000505465428670215	0.000246913984400416	3.96347587825706	159646.667846634	up	UP
PrileiEVm008861t1	2.3688830680989	6.57604861668301	5.06024519633066	0.00000513798937556834	0.000249534027361417	3.94044923548675	125295.124277189	up	UP
PrileiEVm003864t1	1.98707888995977	5.06435159311912	5.05364990088129	0.00000525996946952287	0.000252538648473892	3.92449732130938	104898.227965599	up	UP
PrileiEVm009339t1	3.56583137108694	8.82650273959874	5.05579693758726	0.0000052199505272667	0.000252057611092499	3.91756084936334	188359.109099908	up	UP
PrileiEVm001013t1	2.08168167604424	5.10886413644494	5.0496329045311	0.00000533565497899064	0.000254210706114403	3.91085439474001	109763.166651406	up	UP
PrileiEVm001856t1	2.73298507997279	5.00023563402757	5.04859900685906	0.00000535530766272904	0.000254210706114403	3.9073327203078	144061.535167145	up	UP
PrileiEVm021743t1	2.74374555803456	6.16070621557378	5.04216784402583	0.00000547916198590471	0.000256844159932151	3.88101093510242	144356.297076414	up	UP
PrileiEVm011708t1	2.08257136360017	6.72888680045824	5.0418603855987	0.00000548515319980362	0.000256844159932151	3.87892810686485	109560.148338075	up	UP
PrileiEVm011012t1	2.43895361385707	4.52225394112571	5.0394135684838	0.00000553306271693874	0.000256844159932151	3.87871397814478	128216.630652594	up	UP
PrileiEVm011099t1	2.58970711737374	6.22099094298171	5.04060920840364	0.0000055096004852139	0.000256844159932151	3.87583613169245	136189.586851452	up	UP
PrileiEVm014504t1	2.00150953854934	7.20838858994969	5.03632074414801	0.00000559421046300641	0.000258255803902087	3.85894725152442	105124.508883805	up	UP
PrileiEVm028292t1	2.20088406491477	5.03471361041229	5.02734574024348	0.00000577544075977028	0.00026372420251951	3.83661123985707	115291.438050058	up	UP
