	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
PrileiEVm000024t1	1	0	1	1	0	7	5	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000025t1	1	1	4	1	1	0	0	0	0	146	0	0	0	0	41	57	8	0	1	75	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000026t1	0	1	0	0	1	11	46	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	28	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000027t1	2	2	2	1	1	14	117	0	5	3	0	0	0	0	1	3	0	0	0	2	0	0	0	305	0	0	2	0	1	0	9	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000028t1	11	9	9	6	8	0	1	2	7	17	0	0	0	5	13	14	2	0	0	7	1	1	5	9	1	1	5	0	3	0	0	9	1	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000029t1	36	50	42	15	25	9	15	13	29	42	2	1	1	2	32	49	16	2	6	18	4	3	6	21	2	3	16	3	6	2	7	20	0	2	7	0	12	0	0	7	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
PrileiEVm000030t1	13	14	7	6	2	4	5	5	13	5	1	1	0	2	9	8	3	1	1	4	1	1	2	11	0	0	3	1	3	0	0	3	1	1	13	0	1	0	1	2	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0
PrileiEVm000031t1	0	0	0	0	0	0	0	0	0	50	1	1	1	0	19	13	1	0	2	28	1	0	0	0	0	0	0	1	0	0	0	10	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PrileiEVm000032t1	6	9	8	0	5	0	2	0	5	15	0	0	0	0	7	8	2	0	1	1	0	0	0	2	0	0	3	0	3	0	1	6	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000033t1	17	4	13	2	7	1	4	4	3	37	1	0	1	5	49	46	23	0	1	17	1	0	3	18	0	0	10	0	6	2	3	9	1	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000034t1	0	0	4	1	1	31	91	1	0	3	0	1	0	0	1	2	0	0	1	1	0	1	0	3	0	0	4	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000035t1	9	0	4	0	0	0	0	0	0	9	1	1	0	0	17	10	6	0	0	10	0	0	1	1	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000036t1	5	0	1	0	2	0	0	1	1	3	101	3	3	0	1	1	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PrileiEVm000037t1	8	29	17	6	5	0	2	2	14	9	0	2	0	3	8	18	8	0	2	8	4	2	3	4	1	0	4	0	3	0	3	5	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PrileiEVm000038t1	2	7	6	0	0	1	1	0	1	3	0	0	1	0	5	4	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000039t1	37	0	0	0	0	0	0	0	0	1	1	2	0	20	0	0	0	0	0	0	6	0	0	0	3	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000040t1	2	15	10	0	2	0	0	0	5	0	0	1	0	0	4	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000041t1	655	18	17	12	18	71	212	3	57	497	17	114	1	107	89	64	10	0	35	363	58	51	5	13	16	24	17	0	7	1	30	93	3	4	9	0	1	1	4	6	0	0	0	4	2	0	0	1	1	0	2	1	0	1	0	0	0	0	0
PrileiEVm000042t1	124	3	5	0	4	0	5	0	2	5	3	16	2	29	4	7	0	0	5	1	10	3	0	1	1	8	6	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	1	1	0	0	0	1	0
PrileiEVm000043t1	10	0	0	0	2	0	2	2	0	17	4	0	0	0	19	19	2	0	2	10	1	0	0	5	1	0	3	0	1	0	0	5	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000044t1	6	2	0	2	1	4	7	0	2	14	0	0	1	1	5	7	2	1	2	8	0	0	1	1	0	0	0	0	3	0	8	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000045t1	7	11	11	2	5	3	10	2	5	9	1	2	0	1	18	15	6	0	0	3	0	1	0	3	0	0	0	0	2	0	3	5	2	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000046t1	5	1	1	0	0	0	0	0	0	11	1	0	0	3	10	9	3	0	3	5	0	1	2	3	0	0	1	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000047t1	13	6	2	6	6	1	3	0	5	23	1	2	0	2	18	15	5	0	1	12	1	4	0	11	0	1	4	0	2	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000048t1	1	1	1	3	0	0	1	2	6	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000049t1	0	0	1	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000050t1	14	14	7	4	7	1	2	2	9	5	0	1	0	3	5	5	3	0	2	5	1	0	1	3	0	0	4	0	1	0	3	4	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
